stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn,id,styr
Arizona,AZ,4,2024,1,0,1,2010,14,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1,AZ2024,20
Arizona,AZ,4,2022,1,0,1,2010,12,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1,AZ2022,18
Arizona,AZ,4,2023,1,0,1,2010,13,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,5,2,2,2,1,1,0,1,1,1,1,1,AZ2023,19
Arizona,AZ,4,2021,1,0,1,2010,11,0,2,2,2,2,1,1,2,1,1,1,1,2,1,0,0,0,0,1,2,5,2,2,2,1,1,0,1,1,0,1,0,AZ2021,17
Arizona,AZ,4,2020,0,0,1,2010,10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ2020,16
California,CA,6,2023,1,1,1,1996,27,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,1,0,0,1,CA2023,24
California,CA,6,2021,1,1,1,1996,25,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1,CA2021,22
California,CA,6,2022,1,1,1,1996,26,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1,CA2022,23
California,CA,6,2024,1,1,1,1996,28,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,1,0,0,1,CA2024,25
California,CA,6,2020,1,1,1,1996,24,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1,CA2020,21
Colorado,CO,8,2022,1,1,1,2000,22,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1,CO2022,28
