id,styr,stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn
43,AZ2019,Arizona,AZ,4,2019,0,0,1,2010,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,AZ2020,Arizona,AZ,4,2020,0,0,1,2010,10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,CA2023,California,CA,6,2023,1,1,1,1996,27,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,1,0,0,1
49,CA2013,California,CA,6,2013,0,0,1,1996,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,CA2021,California,CA,6,2021,1,1,1,1996,25,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
54,CA2018,California,CA,6,2018,1,1,1,1996,22,1,2,2,2,2,0,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
53,CA2017,California,CA,6,2017,1,1,1,1996,21,0,2,2,2,2,0,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
55,CA2019,California,CA,6,2019,1,1,1,1996,23,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
58,CA2022,California,CA,6,2022,1,1,1,1996,26,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
51,CA2015,California,CA,6,2015,0,0,1,1996,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,CA2024,California,CA,6,2024,1,1,1,1996,28,1,2,2,2,2,3,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,1,0,0,1
50,CA2014,California,CA,6,2014,0,0,1,1996,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,CA2020,California,CA,6,2020,1,1,1,1996,24,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,1,1,0,2,1,1,3,0,0,1
52,CA2016,California,CA,6,2016,0,0,1,1996,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,CO2022,Colorado,CO,8,2022,1,1,1,2000,22,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
64,CO2016,Colorado,CO,8,2016,1,1,1,2000,16,1,1,2,2,2,0,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
67,CO2019,Colorado,CO,8,2019,1,1,1,2000,19,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
65,CO2017,Colorado,CO,8,2017,1,1,1,2000,17,1,1,2,2,2,0,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
61,CO2013,Colorado,CO,8,2013,1,0,1,2000,13,0,1,2,2,2,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,4,2,2,2,1,1,0,1,1,0,0,0
71,CO2023,Colorado,CO,8,2023,1,1,1,2000,23,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
66,CO2018,Colorado,CO,8,2018,1,1,1,2000,18,1,1,2,2,2,0,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
69,CO2021,Colorado,CO,8,2021,1,1,1,2000,21,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
63,CO2015,Colorado,CO,8,2015,1,1,1,2000,15,1,1,2,2,2,0,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
62,CO2014,Colorado,CO,8,2014,1,1,1,2000,14,1,1,2,2,2,0,1,2,1,1,1,1,2,1,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,0,0,1
72,CO2024,Colorado,CO,8,2024,1,1,1,2000,24,1,1,2,2,2,3,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
68,CO2020,Colorado,CO,8,2020,1,1,1,2000,20,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1
82,CT2022,Connecticut,CT,9,2022,1,1,1,2012,10,0,2,2,2,2,1,1,2,1,1,0,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1
76,CT2016,Connecticut,CT,9,2016,0,0,1,2012,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,CT2023,Connecticut,CT,9,2023,1,1,1,2012,11,0,2,2,2,2,1,1,2,1,1,0,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1
80,CT2020,Connecticut,CT,9,2020,0,0,1,2012,8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,CT2018,Connecticut,CT,9,2018,0,0,1,2012,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
